date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-09-01,16,13,0.0,9.8,3,97,06:39 PM,03:20 AM,04:48 AM,06:23 PM,11,13,14,13,22,74,82,3.6,1015,16,7,67,16,warsaw
2020-09-02,18,13,0.0,9.8,4,100,06:58 PM,04:32 AM,04:49 AM,06:20 PM,12,15,15,15,21,81,82,4.9,1013,18,9,164,15,warsaw
2020-09-03,20,13,0.0,12.1,5,88,07:14 PM,05:43 AM,04:51 AM,06:18 PM,10,15,16,15,23,30,68,0.0,1019,20,10,227,16,warsaw
2020-09-04,19,13,0.0,10.9,4,81,07:28 PM,06:51 AM,04:53 AM,06:16 PM,11,16,16,16,16,58,74,0.0,1021,19,10,228,11,warsaw
2020-09-05,25,16,0.0,12.1,5,73,07:43 PM,07:59 AM,04:54 AM,06:13 PM,15,19,20,19,18,43,78,9.8,1016,25,9,236,12,warsaw
2020-09-06,20,14,0.0,13.6,5,66,07:58 PM,09:07 AM,04:56 AM,06:11 PM,11,17,17,17,11,47,70,4.4,1016,20,10,275,8,warsaw
2020-09-07,19,14,0.0,10.9,4,58,08:15 PM,10:15 AM,04:58 AM,06:09 PM,9,16,16,16,12,55,62,1.3,1020,19,9,256,8,warsaw
2020-09-08,20,12,0.0,13.3,5,50,08:35 PM,11:24 AM,04:59 AM,06:07 PM,9,16,17,16,23,30,61,0.0,1023,20,10,258,16,warsaw
2020-09-09,22,15,0.0,13.0,4,43,09:01 PM,12:33 PM,05:01 AM,06:04 PM,12,19,20,19,21,40,66,0.0,1020,22,10,258,15,warsaw
2020-09-10,19,15,0.0,13.0,4,35,09:35 PM,01:41 PM,05:03 AM,06:02 PM,10,17,18,17,24,50,61,0.3,1016,19,9,288,17,warsaw
2020-09-11,21,14,0.0,13.0,4,28,10:19 PM,02:44 PM,05:04 AM,06:00 PM,8,17,17,17,8,28,56,0.0,1020,21,10,176,7,warsaw
2020-09-12,24,13,0.0,11.6,6,20,11:17 PM,03:40 PM,05:06 AM,05:57 PM,10,18,19,18,16,7,58,0.0,1019,24,10,163,10,warsaw
2020-09-13,22,17,0.0,10.3,4,13,No moonrise,04:26 PM,05:08 AM,05:55 PM,12,19,20,19,17,25,64,0.0,1023,22,10,268,11,warsaw
2020-09-14,25,16,0.0,11.6,6,5,12:26 AM,05:03 PM,05:09 AM,05:53 PM,12,20,20,20,14,9,61,0.0,1027,25,10,284,9,warsaw
2020-09-15,30,19,0.0,11.6,7,0,01:47 AM,05:33 PM,05:11 AM,05:50 PM,13,24,24,24,10,1,54,0.0,1025,30,10,178,7,warsaw
2020-09-16,28,18,0.0,6.2,5,0,03:12 AM,05:56 PM,05:13 AM,05:48 PM,13,23,23,23,14,51,57,0.0,1018,28,10,200,9,warsaw
2020-09-17,17,11,0.0,10.2,4,0,04:39 AM,06:17 PM,05:14 AM,05:46 PM,8,16,16,16,26,32,60,0.0,1021,17,10,338,20,warsaw
2020-09-18,18,9,0.0,11.6,4,2,06:07 AM,06:36 PM,05:16 AM,05:43 PM,5,13,14,13,18,4,56,0.0,1027,18,10,299,13,warsaw
2020-09-19,19,12,0.0,7.5,4,10,07:36 AM,06:55 PM,05:18 AM,05:41 PM,4,15,15,15,6,41,47,0.0,1025,19,10,196,4,warsaw
2020-09-20,20,12,0.0,10.2,4,17,09:04 AM,07:17 PM,05:19 AM,05:39 PM,3,15,15,15,14,45,45,0.0,1022,20,10,117,9,warsaw
