α: 0.0776605399363659, weights: {'N': 5, 'B': 3, 'R': 3, 'Q': 6, 'P': 1, 'K': 0}, won: 63 
α: 0.12332741939602998, weights: {'N': 5, 'B': 7, 'R': 6, 'Q': 7, 'P': 1, 'K': 0}, won: 63 
α: 0.10950859795177448, weights: {'N': 5, 'B': 5, 'R': 8, 'Q': 5, 'P': 1, 'K': 0}, won: 60 
α: 0.05219216330017851, weights: {'N': 6, 'B': 8, 'R': 3, 'Q': 9, 'P': 1, 'K': 0}, won: 60 
α: 0.036900804562285616, weights: {'N': 4, 'B': 3, 'R': 4, 'Q': 9, 'P': 1, 'K': 0}, won: 58 
α: 0.005034572984309094, weights: {'N': 8, 'B': 8, 'R': 4, 'Q': 7, 'P': 1, 'K': 0}, won: 56 
α: 0.05899282361511238, weights: {'N': 4, 'B': 4, 'R': 9, 'Q': 4, 'P': 1, 'K': 0}, won: 55 
α: 0.20153128044479696, weights: {'N': 6, 'B': 6, 'R': 4, 'Q': 7, 'P': 1, 'K': 0}, won: 54 
α: 0.03996337952040507, weights: {'N': 3, 'B': 5, 'R': 4, 'Q': 3, 'P': 1, 'K': 0}, won: 53 
α: 0.07930077894549259, weights: {'N': 3, 'B': 6, 'R': 9, 'Q': 9, 'P': 1, 'K': 0}, won: 53 
α: 0.4823574777012075, weights: {'N': 7, 'B': 3, 'R': 9, 'Q': 7, 'P': 1, 'K': 0}, won: 51 
α: 0.42226852854814845, weights: {'N': 9, 'B': 8, 'R': 6, 'Q': 5, 'P': 1, 'K': 0}, won: 50 
α: 0.05839647121482161, weights: {'N': 7, 'B': 5, 'R': 3, 'Q': 5, 'P': 1, 'K': 0}, won: 50 
α: 0.1923291780098002, weights: {'N': 4, 'B': 7, 'R': 7, 'Q': 8, 'P': 1, 'K': 0}, won: 49 
α: 0.2889212221933175, weights: {'N': 3, 'B': 7, 'R': 9, 'Q': 8, 'P': 1, 'K': 0}, won: 49 
α: 0.0665335444783488, weights: {'N': 5, 'B': 3, 'R': 4, 'Q': 5, 'P': 1, 'K': 0}, won: 48 
α: 0.10374697100929964, weights: {'N': 7, 'B': 6, 'R': 9, 'Q': 6, 'P': 1, 'K': 0}, won: 48 
α: 0.9612136045110239, weights: {'N': 8, 'B': 7, 'R': 7, 'Q': 5, 'P': 1, 'K': 0}, won: 47 
α: 0.08011125798555185, weights: {'N': 5, 'B': 5, 'R': 7, 'Q': 5, 'P': 1, 'K': 0}, won: 47 
α: 0.7722868919148155, weights: {'N': 5, 'B': 5, 'R': 5, 'Q': 8, 'P': 1, 'K': 0}, won: 46 
α: 0.1677670662440255, weights: {'N': 9, 'B': 8, 'R': 5, 'Q': 6, 'P': 1, 'K': 0}, won: 46 
α: 0.10161059466770006, weights: {'N': 6, 'B': 3, 'R': 4, 'Q': 7, 'P': 1, 'K': 0}, won: 46 
α: 0.39898568644368915, weights: {'N': 5, 'B': 3, 'R': 6, 'Q': 4, 'P': 1, 'K': 0}, won: 46 
α: 0.2591460243298326, weights: {'N': 3, 'B': 7, 'R': 3, 'Q': 9, 'P': 1, 'K': 0}, won: 46 
α: 0.2186053303864136, weights: {'N': 6, 'B': 9, 'R': 9, 'Q': 6, 'P': 1, 'K': 0}, won: 45 
α: 0.45043755106446526, weights: {'N': 3, 'B': 3, 'R': 4, 'Q': 3, 'P': 1, 'K': 0}, won: 44 
